Date/Time (EST),2m Air Temperature (daily avg) (F),2m Max Temperature (F),2m Min Temperature (F)
12/31/1934,53,68,38
1/1/1935,53.5,70,37
1/2/1935,52.5,62,43
1/3/1935,58,70,46
1/4/1935,58.5,67,50
1/5/1935,53.5,60,47
1/6/1935,52.5,61,44
1/7/1935,54,63,45
1/8/1935,52.5,58,47
1/9/1935,56,62,50
1/10/1935,59.5,66,53
1/11/1935,53,58,48
1/12/1935,53.5,61,46
1/13/1935,52.5,60,45
1/14/1935,51.5,58,45
1/15/1935,50,59,41
1/16/1935,51.5,60,43
1/17/1935,53.5,60,47
1/18/1935,53.5,59,48
1/19/1935,47.5,56,39
1/20/1935,47.5,57,38
1/21/1935,50.5,62,39
1/22/1935,52.5,64,41
1/23/1935,55,68,42
1/24/1935,59.5,73,46
1/25/1935,59,72,46
1/26/1935,56.5,69,44
1/27/1935,56,66,46
1/28/1935,51,57,45
1/29/1935,51.5,60,43
1/30/1935,52.5,61,44
1/31/1935,60.5,74,47
2/1/1935,67,83,51
2/2/1935,64.5,74,55
2/3/1935,63.5,71,56
2/4/1935,59.5,63,56
2/5/1935,56,60,52
2/6/1935,55,60,50
2/7/1935,57.5,63,52
2/8/1935,55.5,61,50
2/9/1935,54,60,48
2/10/1935,52,60,44
2/11/1935,56,65,47
2/12/1935,54,62,46
2/13/1935,54.5,61,48
2/14/1935,52,60,44
2/15/1935,52,65,39
2/16/1935,54,70,38
2/17/1935,53.5,68,39
2/18/1935,60.5,75,46
2/19/1935,54.5,65,44
2/20/1935,55.5,63,48
2/21/1935,53,60,46
2/22/1935,55,61,49
2/23/1935,51,58,44
2/24/1935,47.5,59,36
2/25/1935,48,60,36
2/26/1935,48.5,63,34
2/27/1935,51,64,38
2/28/1935,51.5,59,44
3/1/1935,52.5,61,44
3/2/1935,52.5,58,47
3/3/1935,52,58,46
3/4/1935,55.5,60,51
3/5/1935,50.5,58,43
3/6/1935,52,60,44
3/7/1935,51,57,45
3/8/1935,52,59,45
3/9/1935,47.5,60,35
3/10/1935,46.5,58,35
3/11/1935,49.5,60,39
3/12/1935,55,65,45
3/13/1935,58.5,69,48
3/14/1935,57,62,52
3/15/1935,53,62,44
3/16/1935,53,61,45
3/17/1935,53.5,62,45
3/18/1935,55.5,59,52
3/19/1935,48.5,58,39
3/20/1935,51,59,43
3/21/1935,51,60,42
3/22/1935,47,58,36
3/23/1935,49.5,58,41
3/24/1935,47.5,57,38
3/25/1935,50,60,40
3/26/1935,51.5,61,42
3/27/1935,54,62,46
3/28/1935,55,58,52
3/29/1935,57,59,55
3/30/1935,57.5,61,54
3/31/1935,58,62,54
4/1/1935,56,61,51
4/2/1935,56,62,50
4/3/1935,59,64,54
4/4/1935,56.5,64,49
4/5/1935,54.5,64,45
4/6/1935,52.5,64,41
4/7/1935,55,64,46
4/8/1935,59,65,53
4/9/1935,49,59,39
4/10/1935,52,62,42
4/11/1935,54.5,64,45
4/12/1935,56.5,65,48
4/13/1935,59.5,67,52
4/14/1935,62.5,73,52
4/15/1935,58.5,66,51
4/16/1935,57.5,63,52
4/17/1935,55,65,45
4/18/1935,60,72,48
4/19/1935,59.5,67,52
4/20/1935,58,64,52
4/21/1935,58.5,64,53
4/22/1935,60,63,57
4/23/1935,60.5,65,56
4/24/1935,55.5,65,46
4/25/1935,62.5,70,55
4/26/1935,63.5,68,59
4/27/1935,63.5,68,59
4/28/1935,63.5,67,60
4/29/1935,60,66,54
4/30/1935,55.5,63,48
5/1/1935,61.5,67,56
5/2/1935,55.5,63,48
5/3/1935,57.5,67,48
5/4/1935,58.5,69,48
5/5/1935,62,74,50
5/6/1935,58,66,50
5/7/1935,61,64,58
5/8/1935,61.5,65,58
5/9/1935,62.5,65,60
5/10/1935,61,64,58
5/11/1935,60.5,63,58
5/12/1935,62,65,59
5/13/1935,59.5,64,55
5/14/1935,60,63,57
5/15/1935,58.5,63,54
5/16/1935,59.5,63,56
5/17/1935,57,64,50
5/18/1935,58,66,50
5/19/1935,59,68,50
5/20/1935,61,67,55
5/21/1935,63.5,68,59
5/22/1935,63,66,60
5/23/1935,61.5,65,58
5/24/1935,61,64,58
5/25/1935,60.5,65,56
5/26/1935,58.5,64,53
5/27/1935,62.5,65,60
5/28/1935,62,64,60
5/29/1935,61.5,65,58
5/30/1935,59,62,56
5/31/1935,59,66,52
6/1/1935,61,64,58
6/2/1935,61.5,65,58
6/3/1935,62,65,59
6/4/1935,62,65,59
6/5/1935,61.5,65,58
6/6/1935,61,64,58
6/7/1935,62,65,59
6/8/1935,60,64,56
6/9/1935,61.5,67,56
6/10/1935,61,65,57
6/11/1935,63,67,59
6/12/1935,63.5,67,60
6/13/1935,62,66,58
6/14/1935,60,67,53
6/15/1935,59,65,53
6/16/1935,59.5,66,53
6/17/1935,61,66,56
6/18/1935,64,67,61
6/19/1935,64,68,60
6/20/1935,63.5,67,60
6/21/1935,63,67,59
6/22/1935,64,68,60
6/23/1935,64,68,60
6/24/1935,63.5,68,59
6/25/1935,63.5,68,59
6/26/1935,63,68,58
6/27/1935,64,68,60
6/28/1935,64.5,68,61
6/29/1935,64.5,69,60
6/30/1935,62.5,66,59
7/1/1935,64,67,61
7/2/1935,61,67,55
7/3/1935,62,70,54
7/4/1935,62,69,55
7/5/1935,63,68,58
7/6/1935,62,68,56
7/7/1935,63.5,69,58
7/8/1935,67,71,63
7/9/1935,66.5,71,62
7/10/1935,65,69,61
7/11/1935,65,70,60
7/12/1935,67,72,62
7/13/1935,66,72,60
7/14/1935,68,76,60
7/15/1935,70,75,65
7/16/1935,69.5,75,64
7/17/1935,70.5,76,65
7/18/1935,68.5,72,65
7/19/1935,68,72,64
7/20/1935,67,70,64
7/21/1935,66.5,70,63
7/22/1935,66.5,70,63
7/23/1935,66,69,63
7/24/1935,66,70,62
7/25/1935,66,70,62
7/26/1935,65.5,70,61
7/27/1935,67.5,74,61
7/28/1935,65.5,72,59
7/29/1935,69.5,74,65
7/30/1935,68.5,74,63
7/31/1935,68.5,73,64
8/1/1935,63,69,57
8/2/1935,65.5,69,62
8/3/1935,65.5,68,63
8/4/1935,65.5,69,62
8/5/1935,66.5,69,64
8/6/1935,66,71,61
8/7/1935,66,71,61
8/8/1935,72.5,78,67
8/9/1935,77.5,85,70
8/10/1935,78.5,87,70
8/11/1935,74.5,84,65
8/12/1935,69.5,75,64
8/13/1935,72,77,67
8/14/1935,70,74,66
8/15/1935,68,71,65
8/16/1935,67,71,63
8/17/1935,66,70,62
8/18/1935,66.5,71,62
8/19/1935,67.5,72,63
8/20/1935,66,72,60
8/21/1935,69.5,76,63
8/22/1935,70,75,65
8/23/1935,74,81,67
8/24/1935,75,81,69
8/25/1935,75.5,82,69
8/26/1935,74,80,68
8/27/1935,70,74,66
8/28/1935,69.5,72,67
8/29/1935,69,72,66
8/30/1935,68.5,72,65
8/31/1935,67,70,64
9/1/1935,68,70,66
9/2/1935,68,71,65
9/3/1935,68.5,72,65
9/4/1935,66.5,70,63
9/5/1935,69,72,66
9/6/1935,66.5,70,63
9/7/1935,62,69,55
9/8/1935,61,69,53
9/9/1935,64,70,58
9/10/1935,64,70,58
9/11/1935,66,73,59
9/12/1935,69,77,61
9/13/1935,69,77,61
9/14/1935,67,74,60
9/15/1935,66,74,58
9/16/1935,66.5,74,59
9/17/1935,70,76,64
9/18/1935,69,73,65
9/19/1935,67,72,62
9/20/1935,66.5,71,62
9/21/1935,65.5,69,62
9/22/1935,66,70,62
9/23/1935,65,70,60
9/24/1935,64.5,68,61
9/25/1935,65.5,68,63
9/26/1935,66,70,62
9/27/1935,65,68,62
9/28/1935,64.5,66,63
9/29/1935,65,67,63
9/30/1935,65.5,68,63
10/1/1935,64.5,67,62
10/2/1935,61.5,70,53
10/3/1935,63.5,68,59
10/4/1935,62.5,66,59
10/5/1935,63,67,59
10/6/1935,62.5,67,58
10/7/1935,59,62,56
10/8/1935,60.5,67,54
10/9/1935,59.5,68,51
10/10/1935,62,70,54
10/11/1935,67,76,58
10/12/1935,65.5,71,60
10/13/1935,63,68,58
10/14/1935,64,68,60
10/15/1935,56.5,68,45
10/16/1935,57.5,70,45
10/17/1935,61,76,46
10/18/1935,65.5,80,51
10/19/1935,64,71,57
10/20/1935,61,68,54
10/21/1935,59.5,66,53
10/22/1935,55,65,45
10/23/1935,58.5,73,44
10/24/1935,58,73,43
10/25/1935,61.5,75,48
10/26/1935,64,79,49
10/27/1935,64,78,50
10/28/1935,64,70,58
10/29/1935,57.5,64,51
10/30/1935,52,64,40
10/31/1935,50,63,37
11/1/1935,54.5,63,46
11/2/1935,51,60,42
11/3/1935,49.5,62,37
11/4/1935,52,65,39
11/5/1935,52.5,67,38
11/6/1935,53,68,38
11/7/1935,54,68,40
11/8/1935,57,62,52
11/9/1935,54,64,44
11/10/1935,50.5,62,39
11/11/1935,51,65,37
11/12/1935,54.5,63,46
11/13/1935,51.5,63,40
11/14/1935,51,64,38
11/15/1935,53,68,38
11/16/1935,53.5,64,43
11/17/1935,53.5,62,45
11/18/1935,51.5,63,40
11/19/1935,54,64,44
11/20/1935,51.5,63,40
11/21/1935,54.5,64,45
11/22/1935,56,62,50
11/23/1935,55,65,45
11/24/1935,56,67,45
11/25/1935,53.5,62,45
11/26/1935,52.5,62,43
11/27/1935,53.5,65,42
11/28/1935,59.5,71,48
11/29/1935,62.5,80,45
11/30/1935,57.5,71,44
12/1/1935,56,69,43
12/2/1935,57.5,67,48
12/3/1935,56,65,47
12/4/1935,55.5,61,50
12/5/1935,54,64,44
12/6/1935,52,61,43
12/7/1935,52,62,42
12/8/1935,52.5,64,41
12/9/1935,56.5,69,44
12/10/1935,54,68,40
12/11/1935,55,66,44
12/12/1935,52,64,40
12/13/1935,48.5,61,36
12/14/1935,49.5,63,36
12/15/1935,50.5,64,37
12/16/1935,50,65,35
12/17/1935,55,68,42
12/18/1935,60,75,45
12/19/1935,61,71,51
12/20/1935,57,69,45
12/21/1935,55,65,45
12/22/1935,53.5,65,42
12/23/1935,50.5,61,40
12/24/1935,53,66,40
12/25/1935,51.5,64,39
12/26/1935,53.5,62,45
12/27/1935,51.5,61,42
12/28/1935,53,62,44
12/29/1935,53,61,45
12/30/1935,55,62,48
12/31/1935,51.5,61,42
1/1/1936,52,64,40
1/2/1936,53,64,42
1/3/1936,53.5,64,43
1/4/1936,51.5,60,43
1/5/1936,51.5,61,42
1/6/1936,53,62,44
1/7/1936,51,61,41
1/8/1936,50,60,40
1/9/1936,50,59,41
1/10/1936,53.5,62,45
1/11/1936,52,63,41
1/12/1936,51.5,63,40
1/13/1936,52.5,61,44
1/14/1936,54.5,63,46
1/15/1936,52,57,47
1/16/1936,52,60,44
1/17/1936,52.5,62,43
1/18/1936,53.5,63,44
1/19/1936,49,62,36
1/20/1936,51,64,38
1/21/1936,51,64,38
1/22/1936,53.5,67,40
1/23/1936,55,68,42
1/24/1936,50,63,37
1/25/1936,52,62,42
1/26/1936,54,66,42
1/27/1936,59.5,68,51
1/28/1936,58.5,63,54
1/29/1936,52,63,41
1/30/1936,57.5,67,48
1/31/1936,57,64,50
2/1/1936,57,64,50
2/2/1936,52.5,63,42
2/3/1936,50,60,40
2/4/1936,49,57,41
2/5/1936,49.5,59,40
2/6/1936,49,60,38
2/7/1936,49.5,58,41
2/8/1936,49,60,38
2/9/1936,51.5,61,42
2/10/1936,56.5,64,49
2/11/1936,58,64,52
2/12/1936,57.5,64,51
2/13/1936,58,62,54
2/14/1936,58,62,54
2/15/1936,57.5,63,52
2/16/1936,54,62,46
2/17/1936,55,62,48
2/18/1936,55.5,60,51
2/19/1936,57,61,53
2/20/1936,55,63,47
2/21/1936,58.5,67,50
2/22/1936,61.5,68,55
2/23/1936,56.5,60,53
2/24/1936,50.5,59,42
2/25/1936,50,60,40
2/26/1936,54.5,67,42
2/27/1936,55.5,70,41
2/28/1936,54,65,43
2/29/1936,56.5,68,45
3/1/1936,60,75,45
3/2/1936,56,64,48
3/3/1936,54.5,60,49
3/4/1936,56.5,61,52
3/5/1936,55,61,49
3/6/1936,53.5,61,46
3/7/1936,53.5,60,47
3/8/1936,52.5,60,45
3/9/1936,55,60,50
3/10/1936,56,62,50
3/11/1936,56,67,45
3/12/1936,57.5,64,51
3/13/1936,55.5,61,50
3/14/1936,56.5,64,49
3/15/1936,55.5,63,48
3/16/1936,58,62,54
3/17/1936,61,66,56
3/18/1936,56,64,48
3/19/1936,60.5,69,52
3/20/1936,62.5,69,56
3/21/1936,59.5,63,56
3/22/1936,52.5,60,45
3/23/1936,54.5,61,48
3/24/1936,52.5,57,48
3/25/1936,46.5,56,37
3/26/1936,49,60,38
3/27/1936,50,61,39
3/28/1936,53,60,46
3/29/1936,53.5,58,49
3/30/1936,56.5,60,53
3/31/1936,50,58,42
4/1/1936,49.5,60,39
4/2/1936,54,61,47
4/3/1936,58,62,54
4/4/1936,53.5,60,47
4/5/1936,50.5,62,39
4/6/1936,54.5,68,41
4/7/1936,59,73,45
4/8/1936,56.5,62,51
4/9/1936,53.5,61,46
4/10/1936,55.5,65,46
4/11/1936,58,67,49
4/12/1936,59,68,50
4/13/1936,55.5,59,52
4/14/1936,55.5,60,51
4/15/1936,56,60,52
4/16/1936,55,63,47
4/17/1936,57,60,54
4/18/1936,58.5,62,55
4/19/1936,59,63,55
4/20/1936,57.5,63,52
4/21/1936,58,63,53
4/22/1936,60.5,66,55
4/23/1936,52.5,62,43
4/24/1936,58.5,62,55
4/25/1936,58,62,54
4/26/1936,58.5,62,55
4/27/1936,59.5,63,56
4/28/1936,60,64,56
4/29/1936,56.5,64,49
4/30/1936,56.5,64,49
5/1/1936,57,66,48
5/2/1936,61.5,68,55
5/3/1936,61.5,70,53
5/4/1936,62,66,58
5/5/1936,62.5,67,58
5/6/1936,55.5,65,46
5/7/1936,60.5,72,49
5/8/1936,61.5,72,51
5/9/1936,60.5,70,51
5/10/1936,61,70,52
5/11/1936,62.5,67,58
5/12/1936,61.5,66,57
5/13/1936,65,73,57
5/14/1936,63.5,73,54
5/15/1936,59,68,50
5/16/1936,61,66,56
5/17/1936,60.5,65,56
5/18/1936,60.5,68,53
5/19/1936,64,69,59
5/20/1936,59,66,52
5/21/1936,57.5,65,50
5/22/1936,63.5,67,60
5/23/1936,63,66,60
5/24/1936,62,64,60
5/25/1936,62.5,65,60
5/26/1936,62,64,60
5/27/1936,63,67,59
5/28/1936,64.5,68,61
5/29/1936,63.5,67,60
5/30/1936,63,66,60
5/31/1936,59.5,66,53
6/1/1936,61,66,56
6/2/1936,64,67,61
6/3/1936,60,66,54
6/4/1936,58.5,66,51
6/5/1936,64,67,61
6/6/1936,61,67,55
6/7/1936,62,69,55
6/8/1936,59.5,68,51
6/9/1936,63,70,56
6/10/1936,66,71,61
6/11/1936,64,69,59
6/12/1936,63.5,68,59
6/13/1936,62.5,68,57
6/14/1936,62.5,68,57
6/15/1936,64,68,60
6/16/1936,63,68,58
6/17/1936,63,69,57
6/18/1936,66,70,62
6/19/1936,65.5,72,59
6/20/1936,65,70,60
6/21/1936,66,71,61
6/22/1936,66.5,70,63
6/23/1936,64.5,69,60
6/24/1936,64,71,57
6/25/1936,66.5,73,60
6/26/1936,67.5,72,63
6/27/1936,66.5,71,62
6/28/1936,66.5,71,62
6/29/1936,66.5,69,64
6/30/1936,61.5,68,55
7/1/1936,66.5,70,63
7/2/1936,64.5,69,60
7/3/1936,66,69,63
7/4/1936,66,68,64
7/5/1936,66,72,60
7/6/1936,68.5,72,65
7/7/1936,70,75,65
7/8/1936,66.5,69,64
7/9/1936,67,69,65
7/10/1936,65,71,59
7/11/1936,64.5,71,58
7/12/1936,64.5,70,59
7/13/1936,65.5,70,61
7/14/1936,69,73,65
7/15/1936,69.5,76,63
7/16/1936,71.5,77,66
7/17/1936,71.5,76,67
7/18/1936,72.5,78,67
7/19/1936,75,82,68
7/20/1936,72.5,79,66
7/21/1936,72,78,66
7/22/1936,71,77,65
7/23/1936,69.5,74,65
7/24/1936,70,73,67
7/25/1936,69.5,72,67
7/26/1936,71,75,67
7/27/1936,71,74,68
7/28/1936,70.5,73,68
7/29/1936,70.5,74,67
7/30/1936,70,74,66
7/31/1936,70.5,74,67
8/1/1936,71,74,68
8/2/1936,71.5,75,68
8/3/1936,69,73,65
8/4/1936,69.5,73,66
8/5/1936,68.5,74,63
8/6/1936,71.5,77,66
8/7/1936,73.5,79,68
8/8/1936,81,96,66
8/9/1936,77,88,66
8/10/1936,71,76,66
8/11/1936,64.5,71,58
8/12/1936,67,72,62
8/13/1936,68,72,64
8/14/1936,69.5,74,65
8/15/1936,70,74,66
8/16/1936,70,73,67
8/17/1936,70,74,66
8/18/1936,70.5,74,67
8/19/1936,69.5,73,66
8/20/1936,66.5,71,62
8/21/1936,64.5,71,58
8/22/1936,65,70,60
8/23/1936,68,76,60
8/24/1936,69.5,75,64
8/25/1936,69.5,75,64
8/26/1936,71.5,76,67
8/27/1936,70.5,75,66
8/28/1936,70.5,75,66
8/29/1936,69,75,63
8/30/1936,71,75,67
8/31/1936,71.5,76,67
9/1/1936,68.5,72,65
9/2/1936,67.5,70,65
9/3/1936,67,71,63
9/4/1936,64,74,54
9/5/1936,64.5,73,56
9/6/1936,66,75,57
9/7/1936,68.5,76,61
9/8/1936,69,73,65
9/9/1936,69,73,65
9/10/1936,69,73,65
9/11/1936,67.5,71,64
9/12/1936,67,70,64
9/13/1936,61.5,68,55
9/14/1936,62,71,53
9/15/1936,66,71,61
9/16/1936,66,72,60
9/17/1936,66,71,61
9/18/1936,67,72,62
9/19/1936,65.5,72,59
9/20/1936,67.5,74,61
9/21/1936,67,74,60
9/22/1936,66,73,59
9/23/1936,66.5,72,61
9/24/1936,66.5,70,63
9/25/1936,66,70,62
9/26/1936,63.5,69,58
9/27/1936,61.5,72,51
9/28/1936,62.5,75,50
9/29/1936,67.5,76,59
9/30/1936,67,71,63
10/1/1936,67.5,71,64
10/2/1936,62,70,54
10/3/1936,62,70,54
10/4/1936,61,69,53
10/5/1936,64.5,70,59
10/6/1936,62,71,53
10/7/1936,68,81,55
10/8/1936,67,82,52
10/9/1936,60,70,50
10/10/1936,63.5,72,55
10/11/1936,64,71,57
10/12/1936,63,70,56
10/13/1936,62.5,68,57
10/14/1936,63,69,57
10/15/1936,61,62,60
10/16/1936,65,70,60
10/17/1936,63,70,56
10/18/1936,65.5,72,59
10/19/1936,64.5,68,61
10/20/1936,61.5,69,54
10/21/1936,62,68,56
10/22/1936,64,68,60
10/23/1936,58,68,48
10/24/1936,60.5,70,51
10/25/1936,62.5,75,50
10/26/1936,59,68,50
10/27/1936,60,69,51
10/28/1936,61.5,69,54
10/29/1936,59.5,65,54
10/30/1936,63.5,69,58
10/31/1936,59.5,65,54
11/1/1936,57.5,65,50
11/2/1936,55,67,43
11/3/1936,56,72,40
11/4/1936,55.5,69,42
11/5/1936,54,67,41
11/6/1936,54,65,43
11/7/1936,55,68,42
11/8/1936,57,72,42
11/9/1936,57.5,69,46
11/10/1936,61,76,46
11/11/1936,61.5,73,50
11/12/1936,60,75,45
11/13/1936,62,76,48
11/14/1936,61.5,76,47
11/15/1936,59.5,75,44
11/16/1936,55.5,64,47
11/17/1936,58.5,69,48
11/18/1936,61,74,48
11/19/1936,67,83,51
11/20/1936,68.5,82,55
11/21/1936,64.5,78,51
11/22/1936,60.5,70,51
11/23/1936,57,66,48
11/24/1936,58,73,43
11/25/1936,57.5,72,43
11/26/1936,63.5,73,54
11/27/1936,60.5,73,48
11/28/1936,57.5,67,48
11/29/1936,56.5,66,47
11/30/1936,54,64,44
12/1/1936,53.5,70,37
12/2/1936,57,70,44
12/3/1936,55,63,47
12/4/1936,52,62,42
12/5/1936,52,64,40
12/6/1936,51,65,37
12/7/1936,52,64,40
12/8/1936,50.5,63,38
12/9/1936,52,66,38
12/10/1936,55,68,42
12/11/1936,53.5,68,39
12/12/1936,54.5,69,40
12/13/1936,57,71,43
12/14/1936,66,77,55
12/15/1936,64,69,59
12/16/1936,55,63,47
12/17/1936,53,63,43
12/18/1936,58,69,47
12/19/1936,57.5,69,46
12/20/1936,58.5,71,46
12/21/1936,58.5,71,46
12/22/1936,55.5,68,43
12/23/1936,54.5,63,46
12/24/1936,54,64,44
12/25/1936,53.5,63,44
12/26/1936,54.5,62,47
12/27/1936,55,62,48
12/28/1936,53,60,46
12/29/1936,50.5,59,42
12/30/1936,52,58,46
12/31/1936,51,58,44
1/1/1937,52.5,61,44
1/2/1937,50,60,40
1/3/1937,47,60,34
1/4/1937,49.5,59,40
1/5/1937,50.5,57,44
1/6/1937,45.5,55,36
1/7/1937,47.5,56,39
1/8/1937,44.5,54,35
1/9/1937,41,54,28
1/10/1937,42.5,53,32
1/11/1937,47.5,58,37
1/12/1937,49.5,56,43
1/13/1937,50,57,43
1/14/1937,45.5,55,36
1/15/1937,49.5,56,43
1/16/1937,46,56,36
1/17/1937,46,57,35
1/18/1937,48,58,38
1/19/1937,49.5,53,46
1/20/1937,44.5,52,37
1/21/1937,40,53,27
1/22/1937,41,51,31
1/23/1937,42,52,32
1/24/1937,44,54,34
1/25/1937,45.5,58,33
1/26/1937,47.5,57,38
1/27/1937,50.5,61,40
1/28/1937,51.5,60,43
1/29/1937,50,58,42
1/30/1937,48,56,40
1/31/1937,47.5,58,37
2/1/1937,49.5,61,38
2/2/1937,47.5,57,38
2/3/1937,48,59,37
2/4/1937,49.5,58,41
2/5/1937,52.5,60,45
2/6/1937,56.5,60,53
2/7/1937,48.5,55,42
2/8/1937,47,57,37
2/9/1937,48.5,62,35
2/10/1937,49.5,62,37
2/11/1937,52.5,62,43
2/12/1937,55,62,48
2/13/1937,56.5,61,52
2/14/1937,55,60,50
2/15/1937,53,56,50
2/16/1937,50.5,59,42
2/17/1937,51.5,61,42
2/18/1937,50.5,57,44
2/19/1937,51.5,59,44
2/20/1937,50.5,61,40
2/21/1937,53.5,66,41
2/22/1937,53,65,41
2/23/1937,51,58,44
2/24/1937,56,61,51
2/25/1937,50.5,56,45
2/26/1937,46,56,36
2/27/1937,48.5,58,39
2/28/1937,53,65,41
3/1/1937,52,64,40
3/2/1937,53,62,44
3/3/1937,62,81,43
3/4/1937,59,74,44
3/5/1937,57.5,72,43
3/6/1937,54.5,67,42
3/7/1937,52.5,65,40
3/8/1937,52.5,59,46
3/9/1937,53.5,63,44
3/10/1937,57,66,48
3/11/1937,61.5,68,55
3/12/1937,58,64,52
3/13/1937,57.5,62,53
3/14/1937,58.5,63,54
3/15/1937,59.5,65,54
3/16/1937,55.5,65,46
3/17/1937,57,63,51
3/18/1937,50,58,42
3/19/1937,50.5,60,41
3/20/1937,51.5,61,42
3/21/1937,53,60,46
3/22/1937,54,59,49
3/23/1937,49.5,59,40
3/24/1937,54,60,48
3/25/1937,51,59,43
3/26/1937,51,60,42
3/27/1937,53,59,47
3/28/1937,53.5,60,47
3/29/1937,53.5,63,44
3/30/1937,53.5,60,47
3/31/1937,55,60,50
4/1/1937,55,58,52
4/2/1937,53,58,48
4/3/1937,52,60,44
4/4/1937,55.5,65,46
4/5/1937,59,69,49
4/6/1937,55.5,63,48
4/7/1937,59.5,73,46
4/8/1937,58.5,69,48
4/9/1937,58,62,54
4/10/1937,55,62,48
4/11/1937,53,61,45
4/12/1937,57,62,52
4/13/1937,55.5,64,47
4/14/1937,59.5,64,55
4/15/1937,59.5,63,56
4/16/1937,56,65,47
4/17/1937,59,73,45
4/18/1937,58,70,46
4/19/1937,56,65,47
4/20/1937,60,71,49
4/21/1937,62,68,56
4/22/1937,52.5,63,42
4/23/1937,56.5,69,44
4/24/1937,61.5,75,48
4/25/1937,57.5,69,46
4/26/1937,60,64,56
4/27/1937,57,61,53
4/28/1937,53,61,45
4/29/1937,53.5,62,45
4/30/1937,59.5,71,48
5/1/1937,59,70,48
5/2/1937,60,72,48
5/3/1937,60,65,55
5/4/1937,59,63,55
5/5/1937,60.5,64,57
5/6/1937,60.5,63,58
5/7/1937,62.5,66,59
5/8/1937,61,65,57
5/9/1937,61.5,65,58
5/10/1937,58,66,50
5/11/1937,61,69,53
5/12/1937,63,71,55
5/13/1937,66.5,74,59
5/14/1937,62,67,57
5/15/1937,64.5,71,58
5/16/1937,63.5,68,59
5/17/1937,64,67,61
5/18/1937,60,68,52
5/19/1937,64,68,60
5/20/1937,62,66,58
5/21/1937,60.5,64,57
5/22/1937,59,62,56
5/23/1937,59.5,63,56
5/24/1937,62.5,66,59
5/25/1937,58,62,54
5/26/1937,59.5,65,54
5/27/1937,62.5,66,59
5/28/1937,60.5,65,56
5/29/1937,58.5,64,53
5/30/1937,59,63,55
5/31/1937,63,66,60
6/1/1937,62.5,67,58
6/2/1937,61.5,65,58
6/3/1937,63,66,60
6/4/1937,62,64,60
6/5/1937,58,64,52
6/6/1937,63.5,67,60
6/7/1937,62.5,67,58
6/8/1937,61.5,67,56
6/9/1937,61,67,55
6/10/1937,61.5,68,55
6/11/1937,59.5,68,51
6/12/1937,62,69,55
6/13/1937,61.5,66,57
6/14/1937,61.5,67,56
6/15/1937,64.5,69,60
6/16/1937,65,71,59
6/17/1937,61.5,67,56
6/18/1937,63,70,56
6/19/1937,63.5,70,57
6/20/1937,63,69,57
6/21/1937,65.5,69,62
6/22/1937,66.5,70,63
6/23/1937,64,69,59
6/24/1937,65,70,60
6/25/1937,62,68,56
6/26/1937,65,69,61
6/27/1937,65,68,62
6/28/1937,66,69,63
6/29/1937,65.5,73,58
6/30/1937,70.5,82,59
7/1/1937,67.5,78,57
7/2/1937,67,73,61
7/3/1937,66.5,71,62
7/4/1937,66.5,70,63
7/5/1937,65.5,69,62
7/6/1937,67.5,71,64
7/7/1937,67,72,62
7/8/1937,66.5,70,63
7/9/1937,66,70,62
7/10/1937,65.5,70,61
7/11/1937,66,70,62
7/12/1937,68,71,65
7/13/1937,67.5,71,64
7/14/1937,67,70,64
7/15/1937,66,69,63
7/16/1937,64.5,68,61
7/17/1937,66,71,61
7/18/1937,66.5,71,62
7/19/1937,66.5,70,63
7/20/1937,66.5,70,63
7/21/1937,67,70,64
7/22/1937,68.5,71,66
7/23/1937,67.5,71,64
7/24/1937,68,73,63
7/25/1937,68,72,64
7/26/1937,68.5,73,64
7/27/1937,69,74,64
7/28/1937,68,71,65
7/29/1937,71.5,77,66
7/30/1937,70,75,65
7/31/1937,67.5,71,64
8/1/1937,67.5,71,64
8/2/1937,65.5,72,59
8/3/1937,66.5,73,60
8/4/1937,68,71,65
8/5/1937,67.5,71,64
8/6/1937,66.5,70,63
8/7/1937,66.5,71,62
8/8/1937,66,72,60
8/9/1937,67,73,61
8/10/1937,67.5,71,64
8/11/1937,67,71,63
8/12/1937,67.5,71,64
8/13/1937,67,70,64
8/14/1937,67,70,64
8/15/1937,67.5,71,64
8/16/1937,68,71,65
8/17/1937,66.5,71,62
8/18/1937,67.5,71,64
8/19/1937,67.5,70,65
8/20/1937,68,71,65
8/21/1937,67.5,71,64
8/22/1937,68,73,63
8/23/1937,69.5,76,63
8/24/1937,69.5,73,66
8/25/1937,71,76,66
8/26/1937,68.5,73,64
8/27/1937,68.5,74,63
8/28/1937,68.5,73,64
8/29/1937,68,73,63
8/30/1937,67,71,63
8/31/1937,64.5,70,59
9/1/1937,67,72,62
9/2/1937,68,72,64
9/3/1937,67.5,76,59
9/4/1937,67.5,75,60
9/5/1937,67.5,76,59
9/6/1937,68,75,61
9/7/1937,64.5,72,57
9/8/1937,66.5,74,59
9/9/1937,68,75,61
9/10/1937,68,73,63
9/11/1937,71,76,66
9/12/1937,76.5,84,69
9/13/1937,72.5,80,65
9/14/1937,71.5,78,65
9/15/1937,71,78,64
9/16/1937,69.5,75,64
9/17/1937,66.5,70,63
9/18/1937,66.5,71,62
9/19/1937,65,70,60
9/20/1937,63.5,69,58
