0	0	-1	0	-8	1
0	1	1	1	29	0
0	1	1	1	29	0
0	1	2	1	33	0
0	1	2	1	33	0
0	1	30	1	130	0
0	1	30	1	130	0
1	1	28	1	87	1
1	1	28	1	87	1
1	1	32	1	82	1
1	1	32	1	82	1
1	1	36	1	155	1
1	1	36	1	155	1
1	1	28	1	61	1
1	1	28	1	61	1
0	1	14	1	51	0
0	1	14	1	51	0
0	1	10	1	75	0
0	1	10	1	75	0
0	1	14	1	50	0
0	1	14	1	50	0
0	1	22	1	147	0
0	1	22	1	147	0
1	1	23	1	149	1
1	1	23	1	149	1
1	1	17	1	119	1
1	1	17	1	119	1
0	0	-7	1	51	0
0	0	-7	1	51	0
0	0	-8	1	101	0
0	0	-8	1	101	0
0	0	-6	1	71	0
0	0	-6	1	71	0
0	1	10	1	81	0
0	1	10	1	81	0
0	1	10	1	85	0
0	1	10	1	85	0
0	1	12	1	100	0
0	1	12	1	100	0
1	1	14	1	82	1
1	1	14	1	82	1
1	0	-4	0	-26	0
1	0	-4	0	-26	0
1	0	-10	0	-22	0
1	0	-10	0	-22	0
1	0	-10	0	-11	0
1	0	-10	0	-11	0
